graph_type,num_nodes,param,num_edges,milp_ref,size_fixed,ratio_fixed,opt_fixed,size_adaptive,ratio_adaptive,opt_adaptive,n_adapted,n_steps,mean_t_used,mean_delta
ER,4,0.3,4,2,2,1.0,True,2,1.0,True,1,2,0.255,0.028614333259752545
ER,4,0.3,4,2,2,1.0,True,2,1.0,True,1,2,0.255,0.028614333259752545
ER,4,0.3,4,2,2,1.0,True,2,1.0,True,1,2,0.255,0.028614333259752545
ER,4,0.3,4,2,2,1.0,True,2,1.0,True,1,2,0.255,0.028614333259752545
ER,4,0.3,4,2,2,1.0,True,2,1.0,True,1,2,0.255,0.028614333259752545
ER,4,0.3,4,2,2,1.0,True,2,1.0,True,1,2,0.255,0.028614333259752878
ER,4,0.3,4,2,2,1.0,True,2,1.0,True,1,2,0.255,0.028614333259752878
ER,4,0.3,4,2,2,1.0,True,2,1.0,True,1,2,0.255,0.028614333259752878
ER,4,0.3,4,2,2,1.0,True,2,1.0,True,1,2,0.255,0.028614333259752878
ER,4,0.3,3,2,2,1.0,True,2,1.0,True,1,2,0.015,3.3306690738754696e-16
ER,4,0.5,3,2,2,1.0,True,2,1.0,True,1,2,0.255,4.440892098500626e-16
ER,4,0.5,4,2,2,1.0,True,2,1.0,True,1,2,0.255,0.028614333259752323
ER,4,0.5,3,2,2,1.0,True,2,1.0,True,1,2,0.015,3.3306690738754696e-16
ER,4,0.5,3,2,2,1.0,True,2,1.0,True,1,2,0.015,3.3306690738754696e-16
ER,4,0.5,6,3,3,1.0,True,3,1.0,True,1,3,0.34,3.3306690738754696e-16
ER,4,0.5,3,2,2,1.0,True,2,1.0,True,0,2,0.01,4.440892098500626e-16
ER,4,0.5,3,2,2,1.0,True,2,1.0,True,0,2,0.01,4.440892098500626e-16
ER,4,0.5,4,2,2,1.0,True,2,1.0,True,1,2,0.255,0.028614333259752767
ER,4,0.5,4,2,2,1.0,True,2,1.0,True,1,2,0.255,0.028614333259752878
ER,4,0.5,4,2,2,1.0,True,2,1.0,True,1,2,0.255,0.028614333259752656
ER,4,0.7,4,2,2,1.0,True,2,1.0,True,1,2,0.255,0.028614333259752434
ER,4,0.7,4,2,2,1.0,True,2,1.0,True,1,2,0.255,0.028614333259752323
ER,4,0.7,6,3,3,1.0,True,3,1.0,True,1,3,0.34,3.3306690738754696e-16
ER,4,0.7,6,3,3,1.0,True,3,1.0,True,1,3,0.34,3.3306690738754696e-16
ER,4,0.7,6,3,3,1.0,True,3,1.0,True,1,3,0.34,3.3306690738754696e-16
ER,4,0.7,4,2,2,1.0,True,2,1.0,True,1,2,0.255,0.028614333259752434
ER,4,0.7,4,2,2,1.0,True,2,1.0,True,1,2,0.255,0.028614333259752434
ER,4,0.7,6,3,3,1.0,True,3,1.0,True,1,3,0.34,3.3306690738754696e-16
ER,4,0.7,4,2,2,1.0,True,2,1.0,True,1,2,0.255,0.028614333259752878
ER,4,0.7,5,2,2,1.0,True,2,1.0,True,2,2,0.275,0.05558895812231712
ER,9,0.3,16,5,5,1.0,True,5,1.0,True,4,5,1.1019999999999999,0.04173084435606569
ER,9,0.3,16,5,5,1.0,True,5,1.0,True,4,5,1.1019999999999999,0.04173084435606569
ER,9,0.3,13,4,4,1.0,True,4,1.0,True,4,4,0.75,0.08171315684686403
ER,9,0.3,13,4,4,1.0,True,4,1.0,True,4,4,0.75,0.08171315684686403
ER,9,0.3,13,4,4,1.0,True,4,1.0,True,4,4,0.75,0.08171315684686403
ER,9,0.3,13,5,5,1.0,True,5,1.0,True,2,5,0.306,0.028279298244878757
ER,9,0.3,10,4,4,1.0,True,4,1.0,True,3,4,0.5275,0.033230465326369085
ER,9,0.3,16,5,5,1.0,True,5,1.0,True,4,5,0.9019999999999999,0.07237093266803922
ER,9,0.3,15,5,5,1.0,True,5,1.0,True,4,5,0.40599999999999997,0.026895185511219676
ER,9,0.3,14,4,4,1.0,True,4,1.0,True,4,4,0.875,0.07774056323216019
