graph_type,num_nodes,param,num_edges,milp_ref,cover_size,ratio,is_optimal,matching_lb,lb_tight,n_steps,min_delta,min_gap,n_uncertain
ER,4,0.3,4,2,2,1.0,True,2,True,2,2.220446049250313e-16,0.7712864461218311,2
ER,4,0.3,4,2,2,1.0,True,2,True,2,2.220446049250313e-16,0.7712864461218311,2
ER,4,0.3,4,2,2,1.0,True,2,True,2,2.220446049250313e-16,0.7712864461218311,2
ER,4,0.3,4,2,2,1.0,True,2,True,2,2.220446049250313e-16,0.7712864461218311,2
ER,4,0.3,4,2,2,1.0,True,2,True,2,2.220446049250313e-16,0.7712864461218311,2
ER,4,0.3,4,2,2,1.0,True,2,True,2,2.220446049250313e-16,0.7712864461218303,2
ER,4,0.3,4,2,2,1.0,True,2,True,2,2.220446049250313e-16,0.7712864461218303,2
ER,4,0.3,4,2,2,1.0,True,2,True,2,2.220446049250313e-16,0.7712864461218303,2
ER,4,0.3,4,2,2,1.0,True,2,True,2,2.220446049250313e-16,0.7712864461218303,2
ER,4,0.3,3,2,2,1.0,True,2,True,2,2.220446049250313e-16,0.49999999999999994,2
ER,4,0.5,3,2,2,1.0,True,2,True,2,2.220446049250313e-16,0.49999999999999994,2
ER,4,0.5,4,2,2,1.0,True,2,True,2,2.220446049250313e-16,0.7712864461218308,2
ER,4,0.5,3,2,2,1.0,True,2,True,2,0.0,0.4999999999999999,2
ER,4,0.5,3,2,2,1.0,True,2,True,2,0.0,0.4999999999999999,2
ER,4,0.5,6,3,3,1.0,True,2,False,3,2.220446049250313e-16,1.3333333333333324,3
ER,4,0.5,3,2,2,1.0,True,2,True,2,2.220446049250313e-16,0.49999999999999994,2
ER,4,0.5,3,2,2,1.0,True,2,True,2,2.220446049250313e-16,0.49999999999999994,2
ER,4,0.5,4,2,2,1.0,True,2,True,2,2.220446049250313e-16,0.7712864461218311,2
ER,4,0.5,4,2,2,1.0,True,2,True,2,2.220446049250313e-16,0.7712864461218303,2
ER,4,0.5,4,2,2,1.0,True,2,True,2,2.220446049250313e-16,0.7712864461218312,2
ER,4,0.7,4,2,2,1.0,True,2,True,2,2.220446049250313e-16,0.7712864461218308,2
ER,4,0.7,4,2,2,1.0,True,2,True,2,2.220446049250313e-16,0.7712864461218308,2
ER,4,0.7,6,3,3,1.0,True,2,False,3,2.220446049250313e-16,1.3333333333333324,3
ER,4,0.7,6,3,3,1.0,True,2,False,3,2.220446049250313e-16,1.3333333333333324,3
ER,4,0.7,6,3,3,1.0,True,2,False,3,2.220446049250313e-16,1.3333333333333324,3
ER,4,0.7,4,2,2,1.0,True,2,True,2,2.220446049250313e-16,0.7712864461218308,2
ER,4,0.7,4,2,2,1.0,True,2,True,2,2.220446049250313e-16,0.7712864461218308,2
ER,4,0.7,6,3,3,1.0,True,2,False,3,2.220446049250313e-16,1.3333333333333324,3
ER,4,0.7,4,2,2,1.0,True,2,True,2,2.220446049250313e-16,0.7712864461218303,2
ER,4,0.7,5,2,2,1.0,True,2,True,2,0.0,0.9999999999999999,2
ER,9,0.3,16,5,5,1.0,True,4,False,5,2.220446049250313e-16,0.43350055713342317,5
ER,9,0.3,16,5,5,1.0,True,4,False,5,2.220446049250313e-16,0.43350055713342317,5
ER,9,0.3,13,4,4,1.0,True,4,True,4,6.9442161806376745e-06,0.16959260913516183,4
ER,9,0.3,13,4,4,1.0,True,4,True,4,6.9442161806376745e-06,0.16959260913516183,4
ER,9,0.3,13,4,4,1.0,True,4,True,4,6.9442161806376745e-06,0.16959260913516183,4
ER,9,0.3,13,5,5,1.0,True,4,False,5,2.220446049250313e-16,0.31394746414391506,5
ER,9,0.3,10,4,4,1.0,True,4,True,4,0.0,0.2750197648203841,4
ER,9,0.3,16,5,5,1.0,True,4,False,5,2.220446049250313e-16,0.4732133122947474,5
ER,9,0.3,15,5,5,1.0,True,4,False,5,0.0,0.15376157219871722,5
ER,9,0.3,14,4,4,1.0,True,4,True,4,2.083255932761041e-06,0.39193389748130586,4
ER,9,0.5,14,5,5,1.0,True,4,False,5,5.2082338442005494e-11,0.37908037917367904,5
ER,9,0.5,25,6,6,1.0,True,4,False,6,0.0,0.5171947889901971,6
ER,9,0.5,18,6,6,1.0,True,4,False,6,2.220446049250313e-16,0.23925970979839978,6
ER,9,0.5,15,5,5,1.0,True,4,False,5,2.220446049250313e-16,0.3399941332768387,5
ER,9,0.5,18,5,5,1.0,True,4,False,5,2.220446049250313e-16,0.4506844768097972,5
ER,9,0.5,15,5,5,1.0,True,4,False,5,2.220446049250313e-16,0.4746442973235504,5
ER,9,0.5,16,5,5,1.0,True,4,False,5,0.0,3.3306690738754696e-16,5
ER,9,0.5,23,6,6,1.0,True,4,False,6,0.0,0.4527669092115528,6
ER,9,0.5,23,6,6,1.0,True,4,False,6,2.220446049250313e-16,0.5370333351375368,6
ER,9,0.5,20,6,6,1.0,True,4,False,6,2.220446049250313e-16,0.49999999999999983,6
ER,9,0.7,21,6,6,1.0,True,4,False,6,2.220446049250313e-16,0.47630707586430826,6
ER,9,0.7,27,6,6,1.0,True,4,False,6,2.220446049250313e-16,0.5806843210314838,6
ER,9,0.7,27,7,7,1.0,True,4,False,7,0.0,0.6096117967977923,7
ER,9,0.7,23,6,6,1.0,True,4,False,6,2.220446049250313e-16,0.5678465710886512,6
ER,9,0.7,24,6,6,1.0,True,4,False,6,2.220446049250313e-16,0.5780921389204556,6
ER,9,0.7,22,6,6,1.0,True,4,False,6,2.220446049250313e-16,0.4427954523253347,6
ER,9,0.7,24,6,6,1.0,True,4,False,6,0.0,0.3190964933197986,6
ER,9,0.7,31,7,7,1.0,True,4,False,7,2.220446049250313e-16,0.49999999999999994,7
ER,9,0.7,29,6,6,1.0,True,4,False,6,0.0,0.5657414540893354,6
ER,9,0.7,26,6,6,1.0,True,4,False,6,0.0,0.4609857324907515,6
ER,14,0.3,20,6,6,1.0,True,6,True,6,5.208256048661042e-11,0.15100632771845396,6
ER,14,0.3,20,6,6,1.0,True,6,True,6,5.208256048661042e-11,0.15100632771845396,6
ER,14,0.3,20,6,6,1.0,True,6,True,6,5.208256048661042e-11,0.15100632771845396,6
ER,14,0.3,23,7,7,1.0,True,7,True,7,2.220446049250313e-16,0.2834232077790402,7
ER,14,0.3,30,9,9,1.0,True,7,False,9,2.220446049250313e-16,0.22819106986327622,9
