graph_type,num_nodes,param,num_edges,reference_size,exact_used,CTQW_size,CTQW_time,CTQW_ratio,CTQW_valid,Degree-Greedy_size,Degree-Greedy_time,Degree-Greedy_ratio,Degree-Greedy_valid,2-Approx_size,2-Approx_time,2-Approx_ratio,2-Approx_valid,FastVC_size,FastVC_time,FastVC_ratio,FastVC_valid,SA_size,SA_time,SA_ratio,SA_valid
ER,4,0.3,4,2,True,2,0.01062229904346168,1.0,True,2,0.00013262801803648472,1.0,True,2,5.866703577339649e-05,1.0,True,2,5.8248057030141354e-05,1.0,True,2,0.004788247984834015,1.0,True
ER,4,0.3,4,2,True,2,0.009271290036849678,1.0,True,2,0.00011558795813471079,1.0,True,2,4.2603001929819584e-05,1.0,True,2,0.0001238289987668395,1.0,True,2,0.0036258099135011435,1.0,True
ER,4,0.3,4,2,True,2,0.005711688892915845,1.0,True,2,7.794308476150036e-05,1.0,True,2,3.289501182734966e-05,1.0,True,2,3.778492100536823e-05,1.0,True,2,0.0037027749931439757,1.0,True
ER,4,0.3,4,2,True,2,0.006460039061494172,1.0,True,2,0.0001282980665564537,1.0,True,2,3.855209797620773e-05,1.0,True,2,4.309206269681454e-05,1.0,True,2,0.003628114005550742,1.0,True
ER,4,0.3,4,2,True,2,0.006081219995394349,1.0,True,2,9.728898294270039e-05,1.0,True,2,4.050810821354389e-05,1.0,True,2,3.561901394277811e-05,1.0,True,2,0.0036872709169983864,1.0,True
ER,4,0.3,4,2,True,2,0.005917791044339538,1.0,True,2,7.689499761909246e-05,1.0,True,4,3.484997432678938e-05,2.0,True,2,3.9599952287971973e-05,1.0,True,2,0.0038259050343185663,1.0,True
ER,4,0.3,4,2,True,2,0.007299182005226612,1.0,True,2,8.541496936231852e-05,1.0,True,4,3.478094004094601e-05,2.0,True,2,4.39999857917428e-05,1.0,True,2,0.0036176390713080764,1.0,True
ER,4,0.3,4,2,True,2,0.006922877975739539,1.0,True,2,0.0001328380312770605,1.0,True,4,7.012102287262678e-05,2.0,True,2,0.002721924101933837,1.0,True,2,0.0039060829440131783,1.0,True
ER,4,0.3,4,2,True,2,0.00608359498437494,1.0,True,2,8.12250655144453e-05,1.0,True,4,3.666605334728956e-05,2.0,True,2,4.560593515634537e-05,1.0,True,2,0.003804394043982029,1.0,True
ER,4,0.3,3,2,True,2,0.008087969035841525,1.0,True,2,0.00010553095489740372,1.0,True,4,4.33019595220685e-05,2.0,True,2,5.9644924476742744e-05,1.0,True,2,0.004677550052292645,1.0,True
ER,4,0.5,3,2,True,2,0.15183473005890846,1.0,True,2,7.424200884997845e-05,1.0,True,4,3.680598456412554e-05,2.0,True,2,5.335896275937557e-05,1.0,True,2,0.0036258799955248833,1.0,True
ER,4,0.5,4,2,True,2,0.005470248986966908,1.0,True,2,5.580298602581024e-05,1.0,True,4,3.485102206468582e-05,2.0,True,2,4.02289442718029e-05,1.0,True,2,0.003763956017792225,1.0,True
ER,4,0.5,3,2,True,2,0.006757074035704136,1.0,True,2,6.201898213475943e-05,1.0,True,4,3.2825046218931675e-05,2.0,True,2,3.9180973544716835e-05,1.0,True,2,0.0035544319543987513,1.0,True
ER,4,0.5,3,2,True,2,0.005813169060274959,1.0,True,2,0.00011782196816056967,1.0,True,4,4.344095941632986e-05,2.0,True,2,4.2533036321401596e-05,1.0,True,2,0.003759206971153617,1.0,True
ER,4,0.5,6,3,True,3,0.010412356932647526,1.0,True,3,8.688296657055616e-05,1.0,True,4,4.7143083065748215e-05,1.3333333333333333,True,3,5.119305569678545e-05,1.0,True,3,0.005270921974442899,1.0,True
ER,4,0.5,3,2,True,2,0.007458699052222073,1.0,True,2,9.246997069567442e-05,1.0,True,4,3.520003519952297e-05,2.0,True,2,4.099693614989519e-05,1.0,True,2,0.003717930056154728,1.0,True
ER,4,0.5,3,2,True,2,0.005621804040856659,1.0,True,2,7.35429348424077e-05,1.0,True,4,3.617699258029461e-05,2.0,True,2,4.3511041440069675e-05,1.0,True,2,0.003461332991719246,1.0,True
ER,4,0.5,4,2,True,2,0.005437283078208566,1.0,True,2,5.377794150263071e-05,1.0,True,4,3.121898043900728e-05,2.0,True,2,5.300994962453842e-05,1.0,True,2,0.0035683310125023127,1.0,True
ER,4,0.5,4,2,True,2,0.005809886031784117,1.0,True,2,6.585998926311731e-05,1.0,True,4,3.1917006708681583e-05,2.0,True,2,3.897200804203749e-05,1.0,True,2,0.003557784017175436,1.0,True
ER,4,0.5,4,2,True,2,0.004809200996533036,1.0,True,2,4.679395351558924e-05,1.0,True,2,2.7657020837068558e-05,1.0,True,2,3.687606658786535e-05,1.0,True,2,0.0036016450030729175,1.0,True
ER,4,0.7,4,2,True,2,0.005466687027364969,1.0,True,2,5.7200086303055286e-05,1.0,True,4,3.100896719843149e-05,2.0,True,2,3.610795829445124e-05,1.0,True,2,0.0035414419835433364,1.0,True
ER,4,0.7,4,2,True,2,0.004913892946206033,1.0,True,2,9.34479758143425e-05,1.0,True,4,3.289501182734966e-05,2.0,True,2,3.575801383703947e-05,1.0,True,2,0.003610025974921882,1.0,True
ER,4,0.7,6,3,True,3,0.00786224298644811,1.0,True,3,5.719996988773346e-05,1.0,True,4,3.3664051443338394e-05,1.3333333333333333,True,3,3.946095239371061e-05,1.0,True,3,0.003920958959497511,1.0,True
ER,4,0.7,6,3,True,3,0.008058635983616114,1.0,True,3,6.062199827283621e-05,1.0,True,4,3.289501182734966e-05,1.3333333333333333,True,3,3.806303720921278e-05,1.0,True,3,0.0038928829599171877,1.0,True
ER,4,0.7,6,3,True,3,0.008448000997304916,1.0,True,3,5.964399315416813e-05,1.0,True,4,3.0450988560914993e-05,1.3333333333333333,True,3,4.036806058138609e-05,1.0,True,3,0.003830095985904336,1.0,True
ER,4,0.7,4,2,True,2,0.00563786702696234,1.0,True,2,5.678099114447832e-05,1.0,True,4,3.338395617902279e-05,2.0,True,2,3.5757897421717644e-05,1.0,True,2,0.0036520700668916106,1.0,True
ER,4,0.7,4,2,True,2,0.005682774935849011,1.0,True,2,6.104109343141317e-05,1.0,True,4,3.394298255443573e-05,2.0,True,2,3.8551981560885906e-05,1.0,True,2,0.0039762730011716485,1.0,True
ER,4,0.7,6,3,True,3,0.0076467819744721055,1.0,True,3,6.956199649721384e-05,1.0,True,4,3.198697231709957e-05,1.3333333333333333,True,3,5.713000427931547e-05,1.0,True,3,0.0038171750493347645,1.0,True
ER,4,0.7,4,2,True,2,0.005058184964582324,1.0,True,2,4.840001929551363e-05,1.0,True,4,2.8774957172572613e-05,2.0,True,2,3.680598456412554e-05,1.0,True,2,0.003528591012582183,1.0,True
ER,4,0.7,5,2,True,2,0.00544678105507046,1.0,True,2,6.153108552098274e-05,1.0,True,4,3.240699879825115e-05,2.0,True,3,3.7085963413119316e-05,1.5,True,2,0.0036418730160221457,1.0,True
