graph_type,num_nodes,num_edges,exact_vc_size,dg_size,dg_ratio,ctqw_ratio,approx2_ratio,fastvc_ratio,sa_ratio
ER,4,3,2,2,1.0,1.0,2.0,1.0,1.0
ER,4,3,2,2,1.0,1.0,2.0,1.0,1.0
ER,4,3,2,2,1.0,1.0,2.0,1.0,1.0
ER,4,3,2,2,1.0,1.0,2.0,1.0,1.0
ER,4,5,2,2,1.0,1.0,1.0,1.0,1.0
ER,4,4,2,2,1.0,1.0,2.0,1.0,1.0
ER,4,4,2,2,1.0,1.0,2.0,1.0,1.0
ER,4,4,2,2,1.0,1.0,2.0,1.0,1.0
ER,4,4,2,2,1.0,1.0,2.0,1.0,1.0
ER,4,3,2,2,1.0,1.0,2.0,1.0,1.0
ER,4,3,2,2,1.0,1.0,2.0,1.0,1.0
ER,4,4,2,2,1.0,1.0,2.0,1.0,1.0
ER,4,3,2,2,1.0,1.0,2.0,1.0,1.0
ER,4,3,2,2,1.0,1.0,2.0,1.0,1.0
ER,4,6,3,3,1.0,1.0,1.3333333333333333,1.0,1.0
ER,4,3,2,2,1.0,1.0,2.0,1.0,1.0
ER,4,3,2,2,1.0,1.0,2.0,1.0,1.0
ER,4,4,2,2,1.0,1.0,2.0,1.0,1.0
ER,4,4,2,2,1.0,1.0,2.0,1.0,1.0
ER,4,4,2,2,1.0,1.0,1.0,1.0,1.0
ER,4,4,2,2,1.0,1.0,2.0,1.0,1.0
ER,4,4,2,2,1.0,1.0,2.0,1.0,1.0
ER,4,6,3,3,1.0,1.0,1.3333333333333333,1.0,1.0
ER,4,6,3,3,1.0,1.0,1.3333333333333333,1.0,1.0
ER,4,6,3,3,1.0,1.0,1.3333333333333333,1.0,1.0
ER,4,4,2,2,1.0,1.0,2.0,1.0,1.0
ER,4,4,2,2,1.0,1.0,2.0,1.0,1.0
ER,4,6,3,3,1.0,1.0,1.3333333333333333,1.0,1.0
ER,4,4,2,2,1.0,1.0,2.0,1.0,1.0
ER,4,5,2,2,1.0,1.0,2.0,1.5,1.0
ER,5,4,2,2,1.0,1.0,2.0,1.0,1.0
ER,5,4,2,2,1.0,1.0,2.0,1.0,1.0
ER,5,6,3,3,1.0,1.0,1.3333333333333333,1.0,1.0
ER,5,6,3,3,1.0,1.0,1.3333333333333333,1.0,1.0
ER,5,6,3,3,1.0,1.0,1.3333333333333333,1.0,1.0
ER,5,6,3,3,1.0,1.0,1.3333333333333333,1.0,1.0
ER,5,6,3,3,1.0,1.0,1.3333333333333333,1.0,1.0
ER,5,6,3,3,1.0,1.0,1.3333333333333333,1.0,1.0
ER,5,4,2,2,1.0,1.0,2.0,1.0,1.0
ER,5,4,2,2,1.0,1.0,2.0,1.0,1.0
ER,5,5,2,2,1.0,1.0,2.0,1.0,1.0
ER,5,6,2,2,1.0,1.0,2.0,1.0,1.0
ER,5,6,3,3,1.0,1.0,1.3333333333333333,1.0,1.0
ER,5,6,3,3,1.0,1.0,1.3333333333333333,1.0,1.0
ER,5,7,3,3,1.0,1.0,1.3333333333333333,1.0,1.0
ER,5,5,3,3,1.0,1.0,1.3333333333333333,1.0,1.0
ER,5,5,3,3,1.0,1.0,1.3333333333333333,1.0,1.0
ER,5,7,3,3,1.0,1.0,1.3333333333333333,1.0,1.0
ER,5,6,2,2,1.0,1.0,2.0,1.0,1.0
ER,5,5,2,2,1.0,1.0,1.0,1.0,1.0
ER,5,7,3,3,1.0,1.0,1.3333333333333333,1.0,1.0
ER,5,7,2,2,1.0,1.0,2.0,1.0,1.0
ER,5,6,2,2,1.0,1.0,2.0,1.0,1.0
ER,5,9,3,3,1.0,1.0,1.3333333333333333,1.0,1.0
ER,5,7,3,3,1.0,1.0,1.3333333333333333,1.0,1.0
ER,5,4,2,2,1.0,1.0,2.0,1.0,1.0
ER,5,6,3,3,1.0,1.0,1.3333333333333333,1.0,1.0
ER,5,10,4,4,1.0,1.0,1.0,1.0,1.0
