t,V,graph_type,identical
0.001,4,ER,True
0.001,4,ER,True
0.001,4,ER,True
0.001,4,ER,True
0.001,4,ER,True
0.001,4,ER,True
0.001,4,ER,True
0.001,4,ER,True
0.001,4,ER,True
0.001,4,ER,True
0.001,4,BA,True
0.001,4,BA,True
0.001,4,BA,True
0.001,4,BA,True
0.001,4,BA,True
0.001,4,BA,True
0.001,4,BA,True
0.001,4,BA,True
0.001,4,BA,True
0.001,4,BA,True
0.001,4,REG,True
0.001,10,ER,True
0.001,10,ER,True
0.001,10,ER,True
0.001,10,ER,True
0.001,10,ER,True
0.001,10,ER,True
0.001,10,ER,True
0.001,10,ER,True
0.001,10,ER,True
0.001,10,ER,True
0.001,10,BA,True
0.001,10,BA,True
0.001,10,BA,True
0.001,10,BA,True
0.001,10,BA,True
0.001,10,BA,True
0.001,10,BA,True
0.001,10,BA,True
0.001,10,BA,True
0.001,10,BA,True
0.001,10,REG,True
0.001,10,REG,True
0.001,20,ER,True
0.001,20,ER,False
0.001,20,ER,True
0.001,20,ER,True
0.001,20,ER,True
0.001,20,ER,True
0.001,20,ER,True
0.001,20,ER,True
0.001,20,ER,True
0.001,20,ER,True
0.001,20,BA,True
0.001,20,BA,True
0.001,20,BA,True
0.001,20,BA,True
0.001,20,BA,True
0.001,20,BA,True
0.001,20,BA,True
0.001,20,BA,True
0.001,20,BA,True
0.001,20,BA,True
0.001,20,REG,True
0.001,20,REG,True
0.001,20,REG,False
0.001,30,ER,True
0.001,30,ER,True
0.001,30,ER,True
0.001,30,ER,True
0.001,30,ER,True
0.001,30,ER,True
0.001,30,ER,True
0.001,30,ER,True
0.001,30,ER,True
0.001,30,ER,True
0.001,30,BA,True
0.001,30,BA,True
0.001,30,BA,True
0.001,30,BA,True
0.001,30,BA,True
0.001,30,BA,True
0.001,30,BA,True
0.001,30,BA,True
0.001,30,BA,True
0.001,30,BA,True
0.001,30,REG,True
0.001,30,REG,True
0.001,30,REG,False
0.001,40,ER,True
0.001,40,ER,True
0.001,40,ER,True
0.001,40,ER,True
0.001,40,ER,True
0.001,40,ER,True
0.001,40,ER,True
0.001,40,ER,True
0.001,40,ER,True
0.001,40,ER,True
0.001,40,BA,True
0.001,40,BA,True
0.001,40,BA,True
0.001,40,BA,True
0.001,40,BA,True
0.001,40,BA,True
0.001,40,BA,True
0.001,40,BA,True
0.001,40,BA,True
0.001,40,BA,True
0.001,40,REG,True
0.001,40,REG,False
0.001,40,REG,False
0.001,50,ER,True
0.001,50,ER,True
0.001,50,ER,True
0.001,50,ER,True
0.001,50,ER,True
0.001,50,ER,True
0.001,50,ER,True
0.001,50,ER,True
0.001,50,ER,True
0.001,50,ER,True
0.001,50,BA,True
0.001,50,BA,True
0.001,50,BA,True
0.001,50,BA,True
0.001,50,BA,True
0.001,50,BA,True
0.001,50,BA,True
0.001,50,BA,True
0.001,50,BA,True
0.001,50,BA,True
0.001,50,REG,True
0.001,50,REG,True
0.001,50,REG,False
0.0014677992676220691,4,ER,True
0.0014677992676220691,4,ER,True
0.0014677992676220691,4,ER,True
0.0014677992676220691,4,ER,True
0.0014677992676220691,4,ER,True
0.0014677992676220691,4,ER,True
0.0014677992676220691,4,ER,True
0.0014677992676220691,4,ER,True
0.0014677992676220691,4,ER,True
0.0014677992676220691,4,ER,True
0.0014677992676220691,4,BA,True
0.0014677992676220691,4,BA,True
0.0014677992676220691,4,BA,True
0.0014677992676220691,4,BA,True
0.0014677992676220691,4,BA,True
0.0014677992676220691,4,BA,True
0.0014677992676220691,4,BA,True
0.0014677992676220691,4,BA,True
0.0014677992676220691,4,BA,True
0.0014677992676220691,4,BA,True
0.0014677992676220691,4,REG,True
0.0014677992676220691,10,ER,True
0.0014677992676220691,10,ER,True
0.0014677992676220691,10,ER,True
0.0014677992676220691,10,ER,True
0.0014677992676220691,10,ER,True
0.0014677992676220691,10,ER,True
0.0014677992676220691,10,ER,True
0.0014677992676220691,10,ER,True
0.0014677992676220691,10,ER,True
0.0014677992676220691,10,ER,True
0.0014677992676220691,10,BA,True
0.0014677992676220691,10,BA,True
0.0014677992676220691,10,BA,True
0.0014677992676220691,10,BA,True
0.0014677992676220691,10,BA,True
0.0014677992676220691,10,BA,True
0.0014677992676220691,10,BA,True
0.0014677992676220691,10,BA,True
0.0014677992676220691,10,BA,True
0.0014677992676220691,10,BA,True
0.0014677992676220691,10,REG,True
0.0014677992676220691,10,REG,True
0.0014677992676220691,20,ER,True
0.0014677992676220691,20,ER,True
0.0014677992676220691,20,ER,True
0.0014677992676220691,20,ER,True
0.0014677992676220691,20,ER,True
0.0014677992676220691,20,ER,True
0.0014677992676220691,20,ER,True
0.0014677992676220691,20,ER,True
0.0014677992676220691,20,ER,True
0.0014677992676220691,20,ER,True
0.0014677992676220691,20,BA,True
0.0014677992676220691,20,BA,True
0.0014677992676220691,20,BA,True
0.0014677992676220691,20,BA,True
0.0014677992676220691,20,BA,True
0.0014677992676220691,20,BA,True
0.0014677992676220691,20,BA,True
0.0014677992676220691,20,BA,True
0.0014677992676220691,20,BA,True
0.0014677992676220691,20,BA,True
0.0014677992676220691,20,REG,True
0.0014677992676220691,20,REG,True
0.0014677992676220691,20,REG,False
0.0014677992676220691,30,ER,True
0.0014677992676220691,30,ER,True
0.0014677992676220691,30,ER,True
0.0014677992676220691,30,ER,True
0.0014677992676220691,30,ER,True
0.0014677992676220691,30,ER,True
0.0014677992676220691,30,ER,True
0.0014677992676220691,30,ER,True
0.0014677992676220691,30,ER,True
0.0014677992676220691,30,ER,True
0.0014677992676220691,30,BA,True
0.0014677992676220691,30,BA,True
0.0014677992676220691,30,BA,True
0.0014677992676220691,30,BA,True
0.0014677992676220691,30,BA,True
0.0014677992676220691,30,BA,True
0.0014677992676220691,30,BA,True
0.0014677992676220691,30,BA,True
0.0014677992676220691,30,BA,True
0.0014677992676220691,30,BA,True
0.0014677992676220691,30,REG,True
0.0014677992676220691,30,REG,False
0.0014677992676220691,30,REG,False
0.0014677992676220691,40,ER,True
0.0014677992676220691,40,ER,True
0.0014677992676220691,40,ER,True
0.0014677992676220691,40,ER,True
0.0014677992676220691,40,ER,True
0.0014677992676220691,40,ER,True
0.0014677992676220691,40,ER,True
0.0014677992676220691,40,ER,True
0.0014677992676220691,40,ER,True
0.0014677992676220691,40,ER,True
0.0014677992676220691,40,BA,True
0.0014677992676220691,40,BA,True
0.0014677992676220691,40,BA,True
0.0014677992676220691,40,BA,True
0.0014677992676220691,40,BA,True
0.0014677992676220691,40,BA,True
0.0014677992676220691,40,BA,True
0.0014677992676220691,40,BA,True
0.0014677992676220691,40,BA,True
0.0014677992676220691,40,BA,True
0.0014677992676220691,40,REG,True
0.0014677992676220691,40,REG,True
0.0014677992676220691,40,REG,True
0.0014677992676220691,50,ER,True
0.0014677992676220691,50,ER,True
0.0014677992676220691,50,ER,True
0.0014677992676220691,50,ER,True
0.0014677992676220691,50,ER,True
0.0014677992676220691,50,ER,True
0.0014677992676220691,50,ER,True
0.0014677992676220691,50,ER,True
0.0014677992676220691,50,ER,True
0.0014677992676220691,50,ER,True
0.0014677992676220691,50,BA,True
0.0014677992676220691,50,BA,True
0.0014677992676220691,50,BA,True
0.0014677992676220691,50,BA,True
0.0014677992676220691,50,BA,True
0.0014677992676220691,50,BA,True
0.0014677992676220691,50,BA,True
0.0014677992676220691,50,BA,True
0.0014677992676220691,50,BA,True
0.0014677992676220691,50,BA,True
0.0014677992676220691,50,REG,True
0.0014677992676220691,50,REG,True
0.0014677992676220691,50,REG,False
0.0021544346900318843,4,ER,True
0.0021544346900318843,4,ER,True
0.0021544346900318843,4,ER,True
0.0021544346900318843,4,ER,True
0.0021544346900318843,4,ER,True
0.0021544346900318843,4,ER,True
0.0021544346900318843,4,ER,True
0.0021544346900318843,4,ER,True
0.0021544346900318843,4,ER,True
0.0021544346900318843,4,ER,True
0.0021544346900318843,4,BA,True
0.0021544346900318843,4,BA,True
0.0021544346900318843,4,BA,True
0.0021544346900318843,4,BA,True
0.0021544346900318843,4,BA,True
0.0021544346900318843,4,BA,True
0.0021544346900318843,4,BA,True
0.0021544346900318843,4,BA,True
