label,num_nodes,num_edges,k_max,k_avg,n_spurious,n_missing,violation_frac,udg_embeddable,steps_to_zero_viol,ctqw_vc_size,ctqw_valid
"BA(N=15,m=2)",15,26,9,3.47,2,24,0.2476,False,,7,True
"BA(N=15,m=2)",15,26,10,3.47,4,18,0.2095,False,,6,True
"BA(N=15,m=2)",15,26,11,3.47,6,22,0.2667,False,,5,True
"BA(N=15,m=2)",15,26,9,3.47,6,16,0.2095,False,,6,True
"BA(N=15,m=2)",15,26,10,3.47,4,23,0.2571,False,,5,True
"BA(N=15,m=2)",15,26,8,3.47,2,22,0.2286,False,,7,True
"BA(N=15,m=2)",15,26,7,3.47,4,25,0.2762,False,,7,True
"BA(N=15,m=2)",15,26,9,3.47,0,24,0.2286,False,,6,True
"BA(N=15,m=2)",15,26,9,3.47,1,24,0.2381,False,,6,True
"BA(N=15,m=2)",15,26,7,3.47,10,18,0.2667,False,,8,True
"BA(N=20,m=3)",20,51,13,5.1,9,45,0.2842,False,,11,True
"BA(N=20,m=3)",20,51,15,5.1,3,46,0.2579,False,,11,True
"BA(N=20,m=3)",20,51,9,5.1,1,48,0.2579,False,,12,True
"BA(N=20,m=3)",20,51,14,5.1,0,49,0.2579,False,,10,True
"BA(N=20,m=3)",20,51,10,5.1,9,46,0.2895,False,,11,True
"BA(N=20,m=3)",20,51,12,5.1,6,47,0.2789,False,,11,True
"BA(N=20,m=3)",20,51,11,5.1,5,46,0.2684,False,,13,True
"BA(N=20,m=3)",20,51,16,5.1,4,47,0.2684,False,,10,True
"BA(N=20,m=3)",20,51,18,5.1,3,48,0.2684,False,,11,True
"BA(N=20,m=3)",20,51,13,5.1,3,46,0.2579,False,,10,True
"ER(N=15,p=0.3)",15,20,7,2.67,6,18,0.2286,False,,6,True
"ER(N=15,p=0.3)",15,29,6,3.87,4,19,0.219,False,8.0,9,True
"ER(N=15,p=0.3)",15,25,5,3.33,1,22,0.219,False,,8,True
"ER(N=15,p=0.3)",15,37,8,4.93,3,30,0.3143,False,,10,True
"ER(N=15,p=0.3)",15,35,7,4.67,0,33,0.3143,False,,9,True
"ER(N=15,p=0.3)",15,28,7,3.73,3,26,0.2762,False,,9,True
"ER(N=15,p=0.3)",15,39,8,5.2,5,33,0.3619,False,,9,True
"ER(N=15,p=0.3)",15,37,9,4.93,4,33,0.3524,False,,9,True
"ER(N=15,p=0.5)",15,39,9,5.2,5,31,0.3429,False,,9,True
"ER(N=15,p=0.5)",15,49,10,6.53,3,40,0.4095,False,,10,True
"ER(N=15,p=0.5)",15,45,8,6.0,5,42,0.4476,False,9.0,10,True
"ER(N=15,p=0.5)",15,43,10,5.73,2,41,0.4095,False,,9,True
"ER(N=15,p=0.5)",15,58,10,7.73,4,49,0.5048,False,,11,True
"ER(N=15,p=0.5)",15,52,9,6.93,4,49,0.5048,False,,10,True
"ER(N=15,p=0.5)",15,52,9,6.93,3,47,0.4762,False,,11,True
"ER(N=15,p=0.5)",15,58,11,7.73,3,51,0.5143,False,,11,True
"ER(N=15,p=0.5)",15,61,11,8.13,1,56,0.5429,False,,10,True
"ER(N=15,p=0.5)",15,58,10,7.73,4,50,0.5143,False,,10,True
