family,n_param,num_nodes,num_edges,exact_vc_size,is_bipartite,is_regular,CTQW_size,CTQW_time,CTQW_ratio,CTQW_valid,Degree-Greedy_size,Degree-Greedy_time,Degree-Greedy_ratio,Degree-Greedy_valid,2-Approx_size,2-Approx_time,2-Approx_ratio,2-Approx_valid,SA_size,SA_time,SA_ratio,SA_valid
Crown,3,6,6,3,True,True,3,0.1473509200150147,1.0,True,3,8.28320044092834e-05,1.0,True,4,4.462897777557373e-05,1.3333333333333333,True,3,0.00427505502011627,1.0,True
Crown,4,8,12,4,True,True,4,0.013013456016778946,1.0,True,4,0.0001572129549458623,1.0,True,8,7.389200618490577e-05,2.0,True,4,0.005716649000532925,1.0,True
Crown,5,10,20,5,True,True,5,0.019018896971829236,1.0,True,5,0.00010685698362067342,1.0,True,8,6.970204412937164e-05,1.6,True,5,0.006832223036326468,1.0,True
Crown,6,12,30,6,True,True,6,0.023082332976628095,1.0,True,6,0.00013123196549713612,1.0,True,12,8.56249826028943e-05,2.0,True,6,0.008116324956063181,1.0,True
Crown,7,14,42,7,True,True,7,0.029437191027682275,1.0,True,7,0.00015365099534392357,1.0,True,12,0.00012096500722691417,1.7142857142857142,True,7,0.010245017008855939,1.0,True
Crown,8,16,56,8,True,True,8,0.03502365498570725,1.0,True,8,0.0001814479473978281,1.0,True,16,0.00014010100858286023,2.0,True,8,0.011348020983859897,1.0,True
Crown,9,18,72,9,True,True,9,0.04272519197547808,1.0,True,9,0.00023655296536162496,1.0,True,16,0.00015560595784336329,1.7777777777777777,True,9,0.014048573037143797,1.0,True
Crown,10,20,90,10,True,True,10,0.050488051027059555,1.0,True,10,0.0002824380062520504,1.0,True,20,0.00018458999693393707,2.0,True,10,0.014943867980036885,1.0,True
"K_{n,n}",2,4,4,2,True,True,2,0.00545160099864006,1.0,True,2,5.3499010391533375e-05,1.0,True,4,3.1917006708681583e-05,2.0,True,2,0.003833378024864942,1.0,True
"K_{n,n}",3,6,9,3,True,True,3,0.008665904984809458,1.0,True,3,7.256597746163607e-05,1.0,True,6,6.104202475398779e-05,2.0,True,3,0.004723156976979226,1.0,True
"K_{n,n}",4,8,16,4,True,True,4,0.01387201395118609,1.0,True,4,9.679998038336635e-05,1.0,True,8,6.341596599668264e-05,2.0,True,4,0.005982744041830301,1.0,True
"K_{n,n}",5,10,25,5,True,True,5,0.016908293997403234,1.0,True,5,0.00011307303793728352,1.0,True,10,7.165700662881136e-05,2.0,True,5,0.006987760018091649,1.0,True
"K_{n,n}",6,12,36,6,True,True,6,0.021587449999060482,1.0,True,6,0.00013011402916163206,1.0,True,12,8.953700307756662e-05,2.0,True,6,0.008223042008467019,1.0,True
"K_{n,n}",7,14,49,7,True,True,7,0.02933752804528922,1.0,True,7,0.00015986600192263722,1.0,True,14,0.00012110499665141106,2.0,True,7,0.010461454978212714,1.0,True
"K_{n,n}",8,16,64,8,True,True,8,0.03423947701230645,1.0,True,8,0.00018975901184603572,1.0,True,16,0.00014024198753759265,2.0,True,8,0.011806039954535663,1.0,True
