graph_type,param,V,E,vbs_size,sp_size,sp_ratio,sp_valid,sp_time,dg_size,dg_ratio,dg_valid,dg_time,sa_size,sa_ratio,sa_valid,sa_time,sp_lt_dg,sp_eq_dg,sp_gt_dg
BA,2.0,1000,1997,460,460,1.0,True,0.0010752059752121568,473,1.0282608695652173,True,0.0011739620240405202,510,1.108695652173913,True,0.03707601095084101,1,0,0
BA,2.0,1000,1997,443,443,1.0,True,0.0009095430141314864,451,1.018058690744921,True,0.0009721199749037623,539,1.216704288939052,True,0.03615012508817017,1,0,0
BA,2.0,1000,1997,451,451,1.0,True,0.001107682939618826,463,1.0266075388026608,True,0.0009696059860289097,533,1.1818181818181819,True,0.036959025892429054,1,0,0
BA,2.0,1000,1997,460,460,1.0,True,0.000863029039464891,467,1.0152173913043478,True,0.0009759620297700167,495,1.076086956521739,True,0.036299097002483904,1,0,0
BA,2.0,1000,1997,459,459,1.0,True,0.00087301607709378,468,1.0196078431372548,True,0.0010522290831431746,469,1.0217864923747277,True,0.03531503304839134,1,0,0
BA,5.0,1000,4985,607,607,1.0,True,0.002113955095410347,626,1.031301482701812,True,0.0017872379394248128,626,1.031301482701812,True,0.10225503495894372,1,0,0
BA,5.0,1000,4985,609,609,1.0,True,0.002995421993546188,621,1.019704433497537,True,0.0025765850441530347,680,1.116584564860427,True,0.12454313307534903,1,0,0
BA,5.0,1000,4985,604,604,1.0,True,0.0025703690480440855,620,1.0264900662251655,True,0.002512051025405526,674,1.1158940397350994,True,0.11700027494225651,1,0,0
BA,5.0,1000,4985,601,601,1.0,True,0.002296102000400424,612,1.0183028286189684,True,0.001990337041206658,612,1.0183028286189684,True,0.1083254290279001,1,0,0
BA,5.0,1000,4985,607,607,1.0,True,0.0025402670726180077,612,1.0082372322899507,True,0.0025751179782673717,624,1.028006589785832,True,0.10932408994995058,1,0,0
BA,2.0,2000,3997,908,908,1.0,True,0.0016319809947162867,925,1.0187224669603525,True,0.003102210001088679,1037,1.1420704845814977,True,0.11122887092642486,1,0,0
BA,2.0,2000,3997,897,897,1.0,True,0.0016494409646838903,915,1.020066889632107,True,0.0030336950439959764,1049,1.169453734671126,True,0.10932576702907681,1,0,0
BA,2.0,2000,3997,895,895,1.0,True,0.001628489000722766,914,1.0212290502793295,True,0.0034038539743050933,986,1.1016759776536313,True,0.10435634898021817,1,0,0
BA,2.0,2000,3997,901,901,1.0,True,0.001964844996109605,922,1.02330743618202,True,0.0032116520451381803,942,1.0455049944506105,True,0.1027407810324803,1,0,0
BA,2.0,2000,3997,903,903,1.0,True,0.0015845589805394411,930,1.0299003322259137,True,0.002973143942654133,1033,1.1439645625692136,True,0.103887784993276,1,0,0
BA,5.0,2000,9985,1210,1210,1.0,True,0.004309137002564967,1239,1.0239669421487603,True,0.0051264900248497725,1239,1.0239669421487603,True,0.21491020498797297,1,0,0
BA,5.0,2000,9985,1204,1204,1.0,True,0.0042954490054398775,1223,1.01578073089701,True,0.005004685954190791,1412,1.1727574750830565,True,0.23189029598142952,1,0,0
BA,5.0,2000,9985,1206,1206,1.0,True,0.00414570898283273,1230,1.0199004975124377,True,0.004921434912830591,1239,1.027363184079602,True,0.22846772405318916,1,0,0
BA,5.0,2000,9985,1220,1220,1.0,True,0.004509720951318741,1238,1.0147540983606558,True,0.005492527969181538,1238,1.0147540983606558,True,0.26026331493631005,1,0,0
